id;kodeunit;namaunit;bulan;jumlah;tahun;created_at
1;10100;Fakultas Kedokteran;1;754605000;2019;2023-09-18 10:27:15.015554
2;10100;Fakultas Kedokteran;2;1104460458;2019;2023-09-18 10:27:15.528691
3;10100;Fakultas Kedokteran;3;1517801846;2019;2023-09-18 10:27:15.56851
4;10100;Fakultas Kedokteran;4;2848079092;2019;2023-09-18 10:27:15.627334
5;10100;Fakultas Kedokteran;5;4274828615;2019;2023-09-18 10:27:15.81044
6;10100;Fakultas Kedokteran;6;2622097506;2019;2023-09-18 10:27:15.86934
7;10100;Fakultas Kedokteran;7;3567239415;2019;2023-09-18 10:27:15.936201
8;10100;Fakultas Kedokteran;8;1621870787;2019;2023-09-18 10:27:16.007311
9;10100;Fakultas Kedokteran;9;4486474601;2019;2023-09-18 10:27:16.069604
10;10100;Fakultas Kedokteran;10;3625313867;2019;2023-09-18 10:27:16.144361
11;10100;Fakultas Kedokteran;11;6485544906;2019;2023-09-18 10:27:16.261831
12;10100;Fakultas Kedokteran;12;15980584965;2019;2023-09-18 10:27:16.345709
13;10200;Fakultas Kedokteran Gigi;1;244661148;2019;2023-09-18 10:27:16.40806
14;10200;Fakultas Kedokteran Gigi;2;838497785;2019;2023-09-18 10:27:16.462477
15;10200;Fakultas Kedokteran Gigi;3;1094738797;2019;2023-09-18 10:27:16.528349
16;10200;Fakultas Kedokteran Gigi;4;771951972;2019;2023-09-18 10:27:16.603558
17;10200;Fakultas Kedokteran Gigi;5;2572971691;2019;2023-09-18 10:27:16.728722
18;10200;Fakultas Kedokteran Gigi;6;1914847946;2019;2023-09-18 10:27:16.79531
19;10200;Fakultas Kedokteran Gigi;7;1381364989;2019;2023-09-18 10:27:16.862056
20;10200;Fakultas Kedokteran Gigi;8;960893249;2019;2023-09-18 10:27:16.928991
21;10200;Fakultas Kedokteran Gigi;9;1643076266;2019;2023-09-18 10:27:16.995794
22;10200;Fakultas Kedokteran Gigi;10;2018658851;2019;2023-09-18 10:27:17.06242
23;10200;Fakultas Kedokteran Gigi;11;2002655396;2019;2023-09-18 10:27:17.112302
24;10200;Fakultas Kedokteran Gigi;12;4032909701;2019;2023-09-18 10:27:17.179374
25;10300;Fakultas Hukum;1;446825898;2019;2023-09-18 10:27:17.312659
26;10300;Fakultas Hukum;2;655011329;2019;2023-09-18 10:27:17.379305
27;10300;Fakultas Hukum;3;1012488896;2019;2023-09-18 10:27:17.455035
28;10300;Fakultas Hukum;4;918987991;2019;2023-09-18 10:27:17.56307
29;10300;Fakultas Hukum;5;2173620912;2019;2023-09-18 10:27:17.596516
30;10300;Fakultas Hukum;6;685580810;2019;2023-09-18 10:27:17.646506
31;10300;Fakultas Hukum;7;1585640679;2019;2023-09-18 10:27:17.80488
32;10300;Fakultas Hukum;8;996821316;2019;2023-09-18 10:27:17.93847
33;10300;Fakultas Hukum;9;1033776112;2019;2023-09-18 10:27:18.005081
34;10300;Fakultas Hukum;10;1260931615;2019;2023-09-18 10:27:18.072424
35;10300;Fakultas Hukum;11;1652449386;2019;2023-09-18 10:27:18.138821
36;10300;Fakultas Hukum;12;3730818374;2019;2023-09-18 10:27:18.205412
37;10400;Fakultas Ekonomi dan Bisnis;1;423245952;2019;2023-09-18 10:27:18.272114
38;10400;Fakultas Ekonomi dan Bisnis;2;1602303669;2019;2023-09-18 10:27:18.338945
39;10400;Fakultas Ekonomi dan Bisnis;3;1205803256;2019;2023-09-18 10:27:18.392811
40;10400;Fakultas Ekonomi dan Bisnis;4;2427286182;2019;2023-09-18 10:27:18.422292
41;10400;Fakultas Ekonomi dan Bisnis;5;3968921158;2019;2023-09-18 10:27:18.472632
42;10400;Fakultas Ekonomi dan Bisnis;6;3553039607;2019;2023-09-18 10:27:18.5309
43;10400;Fakultas Ekonomi dan Bisnis;7;2450427005;2019;2023-09-18 10:27:18.580872
44;10400;Fakultas Ekonomi dan Bisnis;8;2323252319;2019;2023-09-18 10:27:18.686818
45;10400;Fakultas Ekonomi dan Bisnis;9;1885335277;2019;2023-09-18 10:27:18.739788
46;10400;Fakultas Ekonomi dan Bisnis;10;4076262136;2019;2023-09-18 10:27:18.772613
47;10400;Fakultas Ekonomi dan Bisnis;11;4534704317;2019;2023-09-18 10:27:18.814849
48;10400;Fakultas Ekonomi dan Bisnis;12;11143280163;2019;2023-09-18 10:27:18.848015
49;10500;Fakultas Farmasi;1;212930040;2019;2023-09-18 10:27:18.881329
50;10500;Fakultas Farmasi;2;469980318;2019;2023-09-18 10:27:18.915045
51;10500;Fakultas Farmasi;3;697874179;2019;2023-09-18 10:27:18.964538
52;10500;Fakultas Farmasi;4;970754191;2019;2023-09-18 10:27:19.106814
53;10500;Fakultas Farmasi;5;1651449173;2019;2023-09-18 10:27:19.173218
54;10500;Fakultas Farmasi;6;1313399748;2019;2023-09-18 10:27:19.340679
55;10500;Fakultas Farmasi;7;1116885566;2019;2023-09-18 10:27:19.38216
56;10500;Fakultas Farmasi;8;1065051186;2019;2023-09-18 10:27:19.516354
57;10500;Fakultas Farmasi;9;1239876598;2019;2023-09-18 10:27:19.573656
58;10500;Fakultas Farmasi;10;1226902011;2019;2023-09-18 10:27:19.632188
59;10500;Fakultas Farmasi;11;947369221;2019;2023-09-18 10:27:19.69898
60;10500;Fakultas Farmasi;12;2181616340;2019;2023-09-18 10:27:19.765561
61;10600;Fakultas Kedokteran Hewan;1;144460246;2019;2023-09-18 10:27:19.832296
62;10600;Fakultas Kedokteran Hewan;2;523076593;2019;2023-09-18 10:27:19.898228
63;10600;Fakultas Kedokteran Hewan;3;915201922;2019;2023-09-18 10:27:19.948786
64;10600;Fakultas Kedokteran Hewan;4;750630734;2019;2023-09-18 10:27:20.042028
65;10600;Fakultas Kedokteran Hewan;5;1798292720;2019;2023-09-18 10:27:20.108378
66;10600;Fakultas Kedokteran Hewan;6;593216697;2019;2023-09-18 10:27:20.17489
67;10600;Fakultas Kedokteran Hewan;7;524427800;2019;2023-09-18 10:27:20.350996
68;10600;Fakultas Kedokteran Hewan;8;1139020105;2019;2023-09-18 10:27:20.416615
69;10600;Fakultas Kedokteran Hewan;9;1341738088;2019;2023-09-18 10:27:20.466699
70;10600;Fakultas Kedokteran Hewan;10;778253497;2019;2023-09-18 10:27:20.519704
71;10600;Fakultas Kedokteran Hewan;11;1614463639;2019;2023-09-18 10:27:20.709486
72;10600;Fakultas Kedokteran Hewan;12;3818125537;2019;2023-09-18 10:27:20.819468
73;10700;Fakultas Ilmu Sosial dan Ilmu Politik;1;228605338;2019;2023-09-18 10:27:20.91324
74;10700;Fakultas Ilmu Sosial dan Ilmu Politik;2;807184902;2019;2023-09-18 10:27:20.95879
75;10700;Fakultas Ilmu Sosial dan Ilmu Politik;3;1063433102;2019;2023-09-18 10:27:21.025653
76;10700;Fakultas Ilmu Sosial dan Ilmu Politik;4;1150506315;2019;2023-09-18 10:27:21.0686
77;10700;Fakultas Ilmu Sosial dan Ilmu Politik;5;2372248334;2019;2023-09-18 10:27:21.125452
78;10700;Fakultas Ilmu Sosial dan Ilmu Politik;6;1014585280;2019;2023-09-18 10:27:21.192348
79;10700;Fakultas Ilmu Sosial dan Ilmu Politik;7;1876161836;2019;2023-09-18 10:27:21.252064
80;10700;Fakultas Ilmu Sosial dan Ilmu Politik;8;1799551598;2019;2023-09-18 10:27:21.30924
81;10700;Fakultas Ilmu Sosial dan Ilmu Politik;9;1356058489;2019;2023-09-18 10:27:21.376179
82;10700;Fakultas Ilmu Sosial dan Ilmu Politik;10;1927606188;2019;2023-09-18 10:27:21.442807
591;11500;Fakultas Vokasi;6;1520900089;2021;2023-09-18 10:28:10.8353
83;10700;Fakultas Ilmu Sosial dan Ilmu Politik;11;1969661131;2019;2023-09-18 10:27:21.569072
84;10700;Fakultas Ilmu Sosial dan Ilmu Politik;12;5459263420;2019;2023-09-18 10:27:21.634752
85;10800;Fakultas Sains dan Teknologi;1;260215226;2019;2023-09-18 10:27:21.711754
86;10800;Fakultas Sains dan Teknologi;2;237403785;2019;2023-09-18 10:27:21.768431
87;10800;Fakultas Sains dan Teknologi;3;781840698;2019;2023-09-18 10:27:21.836171
88;10800;Fakultas Sains dan Teknologi;4;1358827970;2019;2023-09-18 10:27:21.945946
89;10800;Fakultas Sains dan Teknologi;5;2093905495;2019;2023-09-18 10:27:21.995509
90;10800;Fakultas Sains dan Teknologi;6;1887369457;2019;2023-09-18 10:27:22.062936
91;10800;Fakultas Sains dan Teknologi;7;1341085944;2019;2023-09-18 10:27:22.11887
92;10800;Fakultas Sains dan Teknologi;8;1381990059;2019;2023-09-18 10:27:22.193692
93;10800;Fakultas Sains dan Teknologi;9;1894879569;2019;2023-09-18 10:27:22.251877
94;10800;Fakultas Sains dan Teknologi;10;890870941;2019;2023-09-18 10:27:22.335505
95;10800;Fakultas Sains dan Teknologi;11;2287045311;2019;2023-09-18 10:27:22.435626
96;10800;Fakultas Sains dan Teknologi;12;4491292603;2019;2023-09-18 10:27:22.636189
97;10900;Fakultas Kesehatan Masyarakat;1;140716461;2019;2023-09-18 10:27:22.702254
98;10900;Fakultas Kesehatan Masyarakat;2;677717244;2019;2023-09-18 10:27:22.769135
99;10900;Fakultas Kesehatan Masyarakat;3;845102352;2019;2023-09-18 10:27:22.839678
100;10900;Fakultas Kesehatan Masyarakat;4;499537753;2019;2023-09-18 10:27:22.894079
101;10900;Fakultas Kesehatan Masyarakat;5;1473982080;2019;2023-09-18 10:27:22.990191
102;10900;Fakultas Kesehatan Masyarakat;6;873889870;2019;2023-09-18 10:27:23.05274
103;10900;Fakultas Kesehatan Masyarakat;7;2010405719;2019;2023-09-18 10:27:23.102477
104;10900;Fakultas Kesehatan Masyarakat;8;1481686187;2019;2023-09-18 10:27:23.169471
105;10900;Fakultas Kesehatan Masyarakat;9;2491320418;2019;2023-09-18 10:27:23.241072
106;10900;Fakultas Kesehatan Masyarakat;10;2255523886;2019;2023-09-18 10:27:23.302688
107;10900;Fakultas Kesehatan Masyarakat;11;1625497629;2019;2023-09-18 10:27:23.411491
108;10900;Fakultas Kesehatan Masyarakat;12;4194052283;2019;2023-09-18 10:27:23.461819
109;11000;Fakultas Psikologi;1;190566424;2019;2023-09-18 10:27:23.528763
110;11000;Fakultas Psikologi;2;400826617;2019;2023-09-18 10:27:23.578667
111;11000;Fakultas Psikologi;3;416777401;2019;2023-09-18 10:27:23.68756
112;11000;Fakultas Psikologi;4;657971710;2019;2023-09-18 10:27:23.753785
113;11000;Fakultas Psikologi;5;1247048976;2019;2023-09-18 10:27:23.820739
114;11000;Fakultas Psikologi;6;427691892;2019;2023-09-18 10:27:23.887113
115;11000;Fakultas Psikologi;7;886920065;2019;2023-09-18 10:27:23.954073
116;11000;Fakultas Psikologi;8;1552969509;2019;2023-09-18 10:27:24.021278
117;11000;Fakultas Psikologi;9;698927195;2019;2023-09-18 10:27:24.08789
118;11000;Fakultas Psikologi;10;969984617;2019;2023-09-18 10:27:24.185807
119;11000;Fakultas Psikologi;11;715575194;2019;2023-09-18 10:27:24.369747
120;11000;Fakultas Psikologi;12;2598383949;2019;2023-09-18 10:27:24.455319
121;11100;Fakultas Ilmu Budaya;2;331346585;2019;2023-09-18 10:27:24.505038
122;11100;Fakultas Ilmu Budaya;3;695276944;2019;2023-09-18 10:27:24.555008
123;11100;Fakultas Ilmu Budaya;4;770456774;2019;2023-09-18 10:27:24.60524
124;11100;Fakultas Ilmu Budaya;5;1436519330;2019;2023-09-18 10:27:24.681079
125;11100;Fakultas Ilmu Budaya;6;486766969;2019;2023-09-18 10:27:24.730284
126;11100;Fakultas Ilmu Budaya;7;963280113;2019;2023-09-18 10:27:24.779499
127;11100;Fakultas Ilmu Budaya;8;821963030;2019;2023-09-18 10:27:24.813664
128;11100;Fakultas Ilmu Budaya;9;986050918;2019;2023-09-18 10:27:24.955623
129;11100;Fakultas Ilmu Budaya;10;1040880068;2019;2023-09-18 10:27:25.055109
130;11100;Fakultas Ilmu Budaya;11;1336443631;2019;2023-09-18 10:27:25.122275
131;11100;Fakultas Ilmu Budaya;12;2554716598;2019;2023-09-18 10:27:25.182858
132;11200;Fakultas Keperawatan;1;75193584;2019;2023-09-18 10:27:25.256245
133;11200;Fakultas Keperawatan;2;257934554;2019;2023-09-18 10:27:25.322772
134;11200;Fakultas Keperawatan;3;388478330;2019;2023-09-18 10:27:25.389493
135;11200;Fakultas Keperawatan;4;384414619;2019;2023-09-18 10:27:25.456611
136;11200;Fakultas Keperawatan;5;992775173;2019;2023-09-18 10:27:25.511718
137;11200;Fakultas Keperawatan;6;766528420;2019;2023-09-18 10:27:25.573153
138;11200;Fakultas Keperawatan;7;512987335;2019;2023-09-18 10:27:25.66484
139;11200;Fakultas Keperawatan;8;613571794;2019;2023-09-18 10:27:25.720723
140;11200;Fakultas Keperawatan;9;1229960684;2019;2023-09-18 10:27:25.9128
141;11200;Fakultas Keperawatan;10;492850817;2019;2023-09-18 10:27:25.979734
142;11200;Fakultas Keperawatan;11;928858114;2019;2023-09-18 10:27:26.175925
143;11200;Fakultas Keperawatan;12;1997666140;2019;2023-09-18 10:27:26.233108
144;11300;Fakultas Perikanan dan Kelautan;1;55650409;2019;2023-09-18 10:27:26.281877
145;11300;Fakultas Perikanan dan Kelautan;2;228898047;2019;2023-09-18 10:27:26.340547
146;11300;Fakultas Perikanan dan Kelautan;3;234607048;2019;2023-09-18 10:27:26.397436
147;11300;Fakultas Perikanan dan Kelautan;4;531845908;2019;2023-09-18 10:27:26.440382
148;11300;Fakultas Perikanan dan Kelautan;5;565530264;2019;2023-09-18 10:27:26.500254
149;11300;Fakultas Perikanan dan Kelautan;6;768788554;2019;2023-09-18 10:27:26.550489
150;11300;Fakultas Perikanan dan Kelautan;7;611252747;2019;2023-09-18 10:27:26.615706
151;11300;Fakultas Perikanan dan Kelautan;8;477370620;2019;2023-09-18 10:27:26.665831
152;11300;Fakultas Perikanan dan Kelautan;9;568024609;2019;2023-09-18 10:27:26.732419
153;11300;Fakultas Perikanan dan Kelautan;10;627145939;2019;2023-09-18 10:27:26.807452
154;11300;Fakultas Perikanan dan Kelautan;11;790550555;2019;2023-09-18 10:27:26.874146
155;11300;Fakultas Perikanan dan Kelautan;12;1362575874;2019;2023-09-18 10:27:26.924348
156;11400;Program Pascasarjana;1;74897023;2019;2023-09-18 10:27:26.985246
157;11400;Program Pascasarjana;2;554376545;2019;2023-09-18 10:27:27.041441
158;11400;Program Pascasarjana;3;260252325;2019;2023-09-18 10:27:27.10825
159;11400;Program Pascasarjana;4;306005477;2019;2023-09-18 10:27:27.157879
160;11400;Program Pascasarjana;5;618911575;2019;2023-09-18 10:27:27.309271
161;11400;Program Pascasarjana;6;404962478;2019;2023-09-18 10:27:27.386699
162;11400;Program Pascasarjana;7;287673685;2019;2023-09-18 10:27:27.441971
163;11400;Program Pascasarjana;8;351616576;2019;2023-09-18 10:27:27.612372
164;11400;Program Pascasarjana;9;233132972;2019;2023-09-18 10:27:27.718539
165;11400;Program Pascasarjana;10;303783140;2019;2023-09-18 10:27:27.837964
166;11400;Program Pascasarjana;11;514752281;2019;2023-09-18 10:27:27.900766
167;11400;Program Pascasarjana;12;1137206966;2019;2023-09-18 10:27:27.934045
168;11500;Fakultas Vokasi;1;193363991;2019;2023-09-18 10:27:27.967348
169;11500;Fakultas Vokasi;2;569929501;2019;2023-09-18 10:27:28.030344
170;11500;Fakultas Vokasi;3;636115782;2019;2023-09-18 10:27:28.084474
171;11500;Fakultas Vokasi;4;1053850715;2019;2023-09-18 10:27:28.151218
172;11500;Fakultas Vokasi;5;2377765549;2019;2023-09-18 10:27:28.20934
173;11500;Fakultas Vokasi;6;1028641795;2019;2023-09-18 10:27:28.276078
174;11500;Fakultas Vokasi;7;1363519680;2019;2023-09-18 10:27:28.542285
175;11500;Fakultas Vokasi;8;999637569;2019;2023-09-18 10:27:28.635218
176;11500;Fakultas Vokasi;9;1361869643;2019;2023-09-18 10:27:28.69311
177;11500;Fakultas Vokasi;10;1715135071;2019;2023-09-18 10:27:28.759863
178;11500;Fakultas Vokasi;11;1283279734;2019;2023-09-18 10:27:28.809634
179;11500;Fakultas Vokasi;12;3363322649;2019;2023-09-18 10:27:28.863025
180;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);1;101881533;2019;2023-09-18 10:27:28.901287
181;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);2;224192238;2019;2023-09-18 10:27:28.935088
182;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);3;264914011;2019;2023-09-18 10:27:28.968423
183;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);4;643697427;2019;2023-09-18 10:27:29.009801
184;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);5;605450895;2019;2023-09-18 10:27:29.051531
185;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);6;472629947;2019;2023-09-18 10:27:29.084814
186;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);7;387670094;2019;2023-09-18 10:27:29.134917
187;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);8;631488392;2019;2023-09-18 10:27:29.168343
188;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);9;860502815;2019;2023-09-18 10:27:29.201866
189;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);10;982778159;2019;2023-09-18 10:27:29.235198
190;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);11;901345938;2019;2023-09-18 10:27:29.292471
191;11600;Sekolah Ilmu Kesehatan dan Ilmu Alam (SIKIA);12;1661849406;2019;2023-09-18 10:27:29.335162
192;11700;Vokasi Keperawatan Lamongan;1;44580481;2019;2023-09-18 10:27:29.368455
193;11700;Vokasi Keperawatan Lamongan;2;63315069;2019;2023-09-18 10:27:29.401766
194;11700;Vokasi Keperawatan Lamongan;3;55442440;2019;2023-09-18 10:27:29.435024
195;11700;Vokasi Keperawatan Lamongan;4;60238568;2019;2023-09-18 10:27:29.46869
196;11700;Vokasi Keperawatan Lamongan;5;76838022;2019;2023-09-18 10:27:29.532046
197;11700;Vokasi Keperawatan Lamongan;6;50927149;2019;2023-09-18 10:27:29.576369
198;11700;Vokasi Keperawatan Lamongan;7;50579293;2019;2023-09-18 10:27:29.618791
199;11700;Vokasi Keperawatan Lamongan;8;98763871;2019;2023-09-18 10:27:29.652783
200;11700;Vokasi Keperawatan Lamongan;9;121247959;2019;2023-09-18 10:27:29.735823
201;11700;Vokasi Keperawatan Lamongan;10;200754615;2019;2023-09-18 10:27:29.769294
202;11700;Vokasi Keperawatan Lamongan;11;163199100;2019;2023-09-18 10:27:29.819314
203;11700;Vokasi Keperawatan Lamongan;12;118916378;2019;2023-09-18 10:27:29.852359
204;11800;Vokasi Keperawatan Gresik;4;134705138;2019;2023-09-18 10:27:29.90284
205;11800;Vokasi Keperawatan Gresik;5;143484641;2019;2023-09-18 10:27:29.978218
206;11800;Vokasi Keperawatan Gresik;6;32655000;2019;2023-09-18 10:27:30.011578
207;11800;Vokasi Keperawatan Gresik;7;63760000;2019;2023-09-18 10:27:30.079475
208;11800;Vokasi Keperawatan Gresik;8;76070000;2019;2023-09-18 10:27:30.146564
209;11800;Vokasi Keperawatan Gresik;9;123534417;2019;2023-09-18 10:27:30.212606
210;11800;Vokasi Keperawatan Gresik;10;137631610;2019;2023-09-18 10:27:30.262773
211;11800;Vokasi Keperawatan Gresik;11;164103767;2019;2023-09-18 10:27:30.346622
212;11800;Vokasi Keperawatan Gresik;12;160326327;2019;2023-09-18 10:27:30.430464
213;10100;Fakultas Kedokteran;2;1039641939;2020;2023-09-18 10:27:39.280686
214;10100;Fakultas Kedokteran;3;3177767417;2020;2023-09-18 10:27:39.383292
215;10100;Fakultas Kedokteran;4;899466779;2020;2023-09-18 10:27:39.465463
216;10100;Fakultas Kedokteran;5;4307772556;2020;2023-09-18 10:27:39.511709
217;10100;Fakultas Kedokteran;6;1736802295;2020;2023-09-18 10:27:39.620438
218;10100;Fakultas Kedokteran;7;1505860592;2020;2023-09-18 10:27:39.674296
219;10100;Fakultas Kedokteran;8;2530074791;2020;2023-09-18 10:27:39.720128
220;10100;Fakultas Kedokteran;9;3459626519;2020;2023-09-18 10:27:39.770186
221;10100;Fakultas Kedokteran;10;4078828320;2020;2023-09-18 10:27:39.80372
222;10100;Fakultas Kedokteran;11;6252391458;2020;2023-09-18 10:27:40.001387
223;10100;Fakultas Kedokteran;12;16734485177;2020;2023-09-18 10:27:40.053574
224;10200;Fakultas Kedokteran Gigi;1;155814376;2020;2023-09-18 10:27:40.087104
225;10200;Fakultas Kedokteran Gigi;2;738415524;2020;2023-09-18 10:27:40.136984
226;10200;Fakultas Kedokteran Gigi;3;688100121;2020;2023-09-18 10:27:40.170514
227;10200;Fakultas Kedokteran Gigi;4;817567761;2020;2023-09-18 10:27:40.204273
228;10200;Fakultas Kedokteran Gigi;5;1536172564;2020;2023-09-18 10:27:40.250983
229;10200;Fakultas Kedokteran Gigi;6;2231798523;2020;2023-09-18 10:27:40.30467
230;10200;Fakultas Kedokteran Gigi;7;540884656;2020;2023-09-18 10:27:40.345976
231;10200;Fakultas Kedokteran Gigi;8;737308665;2020;2023-09-18 10:27:40.387706
232;10200;Fakultas Kedokteran Gigi;9;1632851314;2020;2023-09-18 10:27:40.438148
233;10200;Fakultas Kedokteran Gigi;10;1651846373;2020;2023-09-18 10:27:40.496349
234;10200;Fakultas Kedokteran Gigi;11;2129956448;2020;2023-09-18 10:27:40.562966
235;10200;Fakultas Kedokteran Gigi;12;7237086769;2020;2023-09-18 10:27:40.604395
236;10300;Fakultas Hukum;1;684834849;2020;2023-09-18 10:27:40.653427
237;10300;Fakultas Hukum;2;540535328;2020;2023-09-18 10:27:40.705176
238;10300;Fakultas Hukum;3;812759917;2020;2023-09-18 10:27:40.737927
239;10300;Fakultas Hukum;4;773829128;2020;2023-09-18 10:27:40.77121
240;10300;Fakultas Hukum;5;743780541;2020;2023-09-18 10:27:40.804856
241;10300;Fakultas Hukum;6;1375306953;2020;2023-09-18 10:27:40.838195
242;10300;Fakultas Hukum;7;847475203;2020;2023-09-18 10:27:40.871584
243;10300;Fakultas Hukum;8;678860034;2020;2023-09-18 10:27:40.90509
244;10300;Fakultas Hukum;9;619167083;2020;2023-09-18 10:27:40.98124
245;10300;Fakultas Hukum;10;1002200817;2020;2023-09-18 10:27:41.135892
246;10300;Fakultas Hukum;11;1027660343;2020;2023-09-18 10:27:41.17197
247;10300;Fakultas Hukum;12;2624854937;2020;2023-09-18 10:27:41.541181
248;10400;Fakultas Ekonomi dan Bisnis;1;186789921;2020;2023-09-18 10:27:41.580372
249;10400;Fakultas Ekonomi dan Bisnis;2;1412416895;2020;2023-09-18 10:27:41.614179
250;10400;Fakultas Ekonomi dan Bisnis;3;1679642456;2020;2023-09-18 10:27:41.647034
251;10400;Fakultas Ekonomi dan Bisnis;4;2804507368;2020;2023-09-18 10:27:41.680843
252;10400;Fakultas Ekonomi dan Bisnis;5;3907480859;2020;2023-09-18 10:27:41.739203
253;10400;Fakultas Ekonomi dan Bisnis;6;2141261566;2020;2023-09-18 10:27:41.772809
254;10400;Fakultas Ekonomi dan Bisnis;7;2654671506;2020;2023-09-18 10:27:41.806253
255;10400;Fakultas Ekonomi dan Bisnis;8;1867657558;2020;2023-09-18 10:27:41.839964
256;10400;Fakultas Ekonomi dan Bisnis;9;2517940427;2020;2023-09-18 10:27:41.888796
257;10400;Fakultas Ekonomi dan Bisnis;10;2125696621;2020;2023-09-18 10:27:41.947811
258;10400;Fakultas Ekonomi dan Bisnis;11;2304607528;2020;2023-09-18 10:27:41.997524
259;10400;Fakultas Ekonomi dan Bisnis;12;8700069753;2020;2023-09-18 10:27:42.030858
260;10500;Fakultas Farmasi;1;89360017;2020;2023-09-18 10:27:42.064333
261;10500;Fakultas Farmasi;2;680870458;2020;2023-09-18 10:27:42.115639
262;10500;Fakultas Farmasi;3;685846147;2020;2023-09-18 10:27:42.156007
263;10500;Fakultas Farmasi;4;1105096024;2020;2023-09-18 10:27:42.205954
264;10500;Fakultas Farmasi;5;1549008434;2020;2023-09-18 10:27:42.247396
265;10500;Fakultas Farmasi;6;984262550;2020;2023-09-18 10:27:42.280748
266;10500;Fakultas Farmasi;7;340087866;2020;2023-09-18 10:27:42.314088
267;10500;Fakultas Farmasi;8;415847505;2020;2023-09-18 10:27:42.431149
268;10500;Fakultas Farmasi;9;1296518430;2020;2023-09-18 10:27:42.564877
269;10500;Fakultas Farmasi;10;929567521;2020;2023-09-18 10:27:42.667688
270;10500;Fakultas Farmasi;11;2137192128;2020;2023-09-18 10:27:42.701274
271;10500;Fakultas Farmasi;12;3381621611;2020;2023-09-18 10:27:42.750455
272;10600;Fakultas Kedokteran Hewan;1;115268549;2020;2023-09-18 10:27:42.845339
273;10600;Fakultas Kedokteran Hewan;2;565311065;2020;2023-09-18 10:27:42.876029
274;10600;Fakultas Kedokteran Hewan;3;370401392;2020;2023-09-18 10:27:42.926177
275;10600;Fakultas Kedokteran Hewan;4;815000341;2020;2023-09-18 10:27:42.971264
276;10600;Fakultas Kedokteran Hewan;5;1176072903;2020;2023-09-18 10:27:43.023288
277;10600;Fakultas Kedokteran Hewan;6;578728030;2020;2023-09-18 10:27:43.056752
278;10600;Fakultas Kedokteran Hewan;7;382458925;2020;2023-09-18 10:27:43.098581
279;10600;Fakultas Kedokteran Hewan;8;610231057;2020;2023-09-18 10:27:43.131767
280;10600;Fakultas Kedokteran Hewan;9;219763359;2020;2023-09-18 10:27:43.190331
281;10600;Fakultas Kedokteran Hewan;10;1476003296;2020;2023-09-18 10:27:43.269021
282;10600;Fakultas Kedokteran Hewan;11;711652236;2020;2023-09-18 10:27:43.323864
283;10600;Fakultas Kedokteran Hewan;12;3682164608;2020;2023-09-18 10:27:43.396257
284;10700;Fakultas Ilmu Sosial dan Ilmu Politik;1;178267134;2020;2023-09-18 10:27:43.429037
285;10700;Fakultas Ilmu Sosial dan Ilmu Politik;2;788125379;2020;2023-09-18 10:27:43.478599
286;10700;Fakultas Ilmu Sosial dan Ilmu Politik;3;1200409659;2020;2023-09-18 10:27:43.607207
287;10700;Fakultas Ilmu Sosial dan Ilmu Politik;4;758989097;2020;2023-09-18 10:27:43.641539
288;10700;Fakultas Ilmu Sosial dan Ilmu Politik;5;1117157074;2020;2023-09-18 10:27:43.674135
289;10700;Fakultas Ilmu Sosial dan Ilmu Politik;6;955944272;2020;2023-09-18 10:27:43.707187
290;10700;Fakultas Ilmu Sosial dan Ilmu Politik;7;2022956201;2020;2023-09-18 10:27:43.740884
291;10700;Fakultas Ilmu Sosial dan Ilmu Politik;8;812184776;2020;2023-09-18 10:27:43.914737
292;10700;Fakultas Ilmu Sosial dan Ilmu Politik;9;775806488;2020;2023-09-18 10:27:44.041049
293;10700;Fakultas Ilmu Sosial dan Ilmu Politik;10;1008153664;2020;2023-09-18 10:27:44.091282
294;10700;Fakultas Ilmu Sosial dan Ilmu Politik;11;1095444813;2020;2023-09-18 10:27:44.133173
295;10700;Fakultas Ilmu Sosial dan Ilmu Politik;12;5173729761;2020;2023-09-18 10:27:44.191693
296;10800;Fakultas Sains dan Teknologi;1;220605974;2020;2023-09-18 10:27:44.241468
297;10800;Fakultas Sains dan Teknologi;2;425339626;2020;2023-09-18 10:27:44.291617
298;10800;Fakultas Sains dan Teknologi;3;1407457853;2020;2023-09-18 10:27:44.333252
299;10800;Fakultas Sains dan Teknologi;4;785557449;2020;2023-09-18 10:27:44.383321
300;10800;Fakultas Sains dan Teknologi;5;2180818575;2020;2023-09-18 10:27:44.42535
